iter	Passed	Remaining
0	2	251
1	4	211
2	5	179
3	6	153
4	7	142
5	8	132
6	9	126
7	10	121
8	11	116
9	12	113
10	15	123
11	18	133
12	20	134
13	21	130
14	22	126
15	23	122
16	24	121
17	26	120
18	27	118
19	28	114
20	31	119
21	34	121
22	35	118
23	36	114
24	37	111
25	38	109
26	39	106
27	41	106
28	42	104
29	43	101
30	46	103
31	49	105
32	50	103
33	51	100
34	52	98
35	54	96
36	55	93
37	56	91
38	57	89
39	58	87
40	60	86
41	60	83
42	63	84
43	64	82
44	66	80
45	67	78
46	69	78
47	70	76
48	71	74
49	73	73
50	75	72
51	78	72
52	80	71
53	81	69
54	82	67
55	83	65
56	84	63
57	85	61
58	86	60
59	87	58
60	88	56
61	90	55
62	91	53
63	92	52
64	93	50
65	95	49
66	96	47
67	98	46
68	100	44
69	101	43
70	103	42
71	107	41
72	109	40
73	111	39
74	112	37
75	113	35
76	114	34
77	115	32
78	116	30
79	117	29
80	118	27
81	119	26
82	120	24
83	122	23
84	124	21
85	125	20
86	128	19
87	129	17
88	130	16
89	133	14
90	136	13
91	138	12
92	139	10
93	140	8
94	141	7
95	142	5
96	143	4
97	144	2
98	149	1
99	150	0
