iter	Passed	Remaining
0	142	142351
1	143	71830
2	145	48297
3	147	36820
4	150	29965
5	151	25172
6	152	21703
7	154	19170
8	156	17231
9	157	15618
10	158	14277
11	159	13154
12	160	12213
13	163	11537
14	164	10830
15	166	10209
16	167	9657
17	169	9268
18	170	8825
19	171	8423
20	173	8069
21	174	7757
22	180	7658
23	182	7426
24	183	7174
25	185	6939
26	186	6721
27	187	6510
28	192	6436
29	194	6287
30	195	6109
31	196	5942
32	197	5789
33	198	5642
34	199	5503
35	200	5373
36	201	5249
37	202	5134
38	204	5028
39	205	4926
40	206	4832
41	208	4754
42	209	4664
43	210	4575
44	211	4497
45	212	4414
46	214	4339
47	218	4326
48	220	4276
49	221	4213
50	222	4148
51	223	4083
52	225	4021
53	226	3960
54	227	3902
55	228	3848
56	229	3794
57	232	3782
58	233	3731
59	235	3683
60	236	3635
61	237	3588
62	238	3540
63	239	3495
64	239	3451
65	240	3409
66	241	3366
67	242	3326
68	243	3287
69	244	3249
70	248	3251
71	249	3216
72	250	3181
73	251	3146
74	252	3113
75	253	3080
76	254	3048
77	255	3016
78	256	2986
79	257	2956
80	258	2928
81	259	2900
82	259	2867
83	264	2885
84	265	2860
85	266	2836
86	268	2813
87	269	2788
88	270	2764
89	270	2739
90	271	2716
91	272	2693
92	273	2670
93	274	2648
94	278	2657
95	280	2637
96	281	2616
97	281	2594
98	282	2574
99	283	2555
100	284	2534
101	285	2517
102	286	2498
103	287	2479
104	288	2461
105	289	2443
106	293	2448
107	294	2433
108	295	2418
109	296	2401
110	297	2384
111	298	2368
112	299	2351
113	300	2335
114	301	2320
115	302	2305
116	303	2289
117	304	2274
118	305	2259
119	309	2271
120	310	2258
121	311	2242
122	312	2228
123	313	2215
124	314	2201
125	315	2189
126	316	2176
127	317	2165
128	318	2153
129	319	2140
130	324	2152
131	325	2143
132	327	2133
133	328	2123
134	329	2113
135	330	2102
136	332	2091
137	333	2081
138	334	2070
139	335	2061
140	337	2058
141	338	2047
142	339	2036
143	340	2026
144	341	2015
145	342	2005
146	343	1995
147	344	1985
148	345	1975
149	346	1966
150	348	1960
151	349	1951
152	353	1959
153	355	1951
154	356	1942
155	357	1933
156	358	1924
157	359	1915
158	360	1906
159	361	1898
160	362	1888
161	363	1881
162	364	1872
163	368	1879
164	369	1872
165	371	1865
166	372	1857
167	373	1850
168	374	1842
169	376	1835
170	378	1833
171	379	1825
172	380	1817
173	384	1823
174	385	1815
175	386	1807
176	387	1799
177	388	1791
178	389	1785
179	390	1777
180	391	1770
181	392	1764
182	393	1758
183	394	1751
184	395	1743
185	400	1753
186	401	1746
187	402	1740
188	403	1732
189	404	1725
190	406	1719
191	407	1713
192	408	1707
193	409	1700
194	410	1693
195	411	1687
196	415	1693
197	417	1690
198	418	1685
199	419	1679
200	421	1674
201	422	1668
202	423	1663
203	424	1657
204	425	1651
205	426	1645
206	428	1643
207	429	1636
208	430	1630
209	431	1624
210	432	1618
211	434	1613
212	435	1609
213	436	1604
214	437	1598
215	438	1593
216	440	1587
217	441	1582
218	442	1578
219	443	1573
220	444	1567
221	445	1562
222	447	1558
223	448	1553
224	449	1548
225	450	1543
226	451	1537
227	452	1532
228	453	1526
229	458	1533
230	459	1528
231	460	1522
232	461	1518
233	462	1513
234	463	1509
235	464	1503
236	465	1498
237	466	1493
238	467	1488
239	468	1483
240	471	1485
241	472	1480
242	473	1475
243	474	1471
244	475	1466
245	476	1461
246	478	1457
247	478	1452
248	479	1447
249	480	1442
250	481	1437
251	482	1432
252	483	1428
253	487	1431
254	489	1428
255	490	1424
256	491	1420
257	492	1416
258	493	1411
259	494	1406
260	495	1402
261	496	1397
262	497	1393
263	498	1388
264	499	1384
265	503	1388
266	504	1384
267	505	1381
268	507	1377
269	508	1373
270	509	1369
271	509	1364
272	510	1360
273	511	1355
274	512	1351
275	513	1347
276	516	1348
277	517	1344
278	519	1341
279	520	1338
280	522	1335
281	523	1332
282	524	1327
283	525	1324
284	526	1319
285	527	1316
286	528	1312
287	529	1308
288	535	1318
